Nama Perguruan Tinggi Swasta;Tahun;Mahasiswa;Dosen;Rasio
Sekolah Tinggi Teknik Wiworotomo;2021;453;30;1:16
Sekolah Tinggi Teknologi Minyak dan Gas Cilacap;2021;53;10;1:6
Sekolah Tinggi Teknologi Muhammadiyah Kebumen;2021;23;25;1:1
Sekolah Tinggi Teknologi Ronggolawe;2021;816;45;1:19
Sekolah Tinggi Teknologi Warga Surakarta;2021;1237;56;1:23
STIA Asuh Mitra Solo;2021;196;35;1:6
STIKES Bhakti Mandala Husada Slawi;2021;1405;54;1:27
STIKES Estu Utomo;2021;568;27;1:22
STIKES Ibnu Sina Ajibarang;2021;286;10;1:29
STIKES Karya Husada Semarang;2021;1306;77;1:17
STIKES Mambaul Ulum Surakarta;2021;0;0;-
STIKES Mitra Husada Karanganyar;2021;410;45;1:10
STIKES Muhammadiyah Gombong;2021;1486;61;1:25
STIKES Muhammadiyah Klaten;2021;1019;60;1:17
STIKES Muhammadiyah Tegal;2021;11;6;1:2
STIKES Telogorejo Semarang;2021;1036;60;1:18
STIMIK Tunas Bangsa Banjarnegara;2021;0;0;-
STKIP Darussalam Cilacap;2021;259;18;1:15
STKIP Majenang;2021;213;28;1:8
STKIP Muhammadiyah Batang;2021;41;13;1:4
STKIP Muhammadiyah Blora;2021;67;8;1:9
STKIP Nahdlatul Ulama Kabupaten Tegal;2021;299;18;1:17
STMIK AKI Pati;2021;190;16;1:12
STMIK AMIKOM Surakarta;2021;475;24;1:20
STMIK AUB Surakarta;2021;343;28;1:13
STMIK Bina Patria;2021;579;39;1:15
STMIK Himsya;2021;530;19;1:28
STMIK Komputama Majenang;2021;375;21;1:18
STMIK Muhammadiyah Paguyangan Brebes;2021;393;19;1:21
STMIK Sinar Nusantara;2021;1704;37;1:47
STMIK Widya Pratama;2021;1652;72;1:23
STMIK Widya Utama;2021;945;43;1:22
STMIK YMI Tegal;2021;308;14;1:22
STT Minyak dan Gas Cilacap;2021;0;0;-
Universitas 17 Agustus 1945 Semarang;2021;8287;251;1:34
Universitas Aisyiyah Surakarta;2021;1362;82;1:17
Universitas Aki;2021;1387;70;1:20
Universitas Al Hikmah Jepara;2021;0;0;-
Universitas Al-Irsyad Cilacap;2021;986;71;1:14
Universitas Amikom Purwokerto;2021;2913;115;1:26
Universitas An Nuur;2021;689;70;1:10
Universitas Bhamada Slawi;2021;0;0;-
Universitas Bima Sakapenta;2021;0;0;-
Universitas Boyolali;2021;661;77;1:9
Universitas Darul Ulum Islamic Centre Sudirman;2021;1623;72;1:23
Universitas Dharma AUB Surakarta;2021;0;0;-
Universitas Dian Nuswantoro;2021;17473;373;1:47
Universitas Duta Bangsa Surakarta;2021;4138;150;1:28
Universitas Harapan Bangsa;2021;1574;74;1:22
Universitas Islam Batik;2021;4392;100;1:44
Universitas Islam Nahdlatul Ulama Jepara;2021;8121;201;1:41
Universitas Islam Sultan Agung;2021;17618;583;1:31
Universitas Ivet;2021;2525;152;1:17
Universitas Karya Husada Semarang;2021;0;0;-
Universitas Katolik Soegijapranata;2021;9580;248;1:39
Universitas Kristen Satya Wacana;2021;15792;552;1:29
Universitas Kristen Surakarta;2021;268;36;1:8
Universitas Kusuma Husada Surakarta;2021;2572;138;1:19
Universitas Maarif Nahdlatul Ulama Kebumen;2021;1005;80;1:13
Universitas Maritim AMNI;2021;3114;69;1:46
Universitas Muhadi Setiabudi;2021;1411;111;1:13
Universitas Muhammadiyah Brebes;2021;0;0;-
Universitas Muhammadiyah Gombong;2021;0;0;-
Universitas Muhammadiyah Karanganyar;2021;0;0;-
Universitas Muhammadiyah Kendal Batang;2021;0;0;-
Universitas Muhammadiyah Klaten;2021;0;0;-
Universitas Muhammadiyah Kudus;2021;2393;189;1:13
Universitas Muhammadiyah Magelang;2021;5846;195;1:30
Universitas Muhammadiyah Pekajangan Pekalongan;2021;2633;115;1:23
Universitas Muhammadiyah Purwokerto;2021;14826;419;1:36
