Nama Perguruan Tinggi Swasta;Tahun;Mahasiswa;Dosen;Rasio
Akademi Akuntansi Muhammadiyah Klaten;2024;268;11;1:25
Akademi Analis Kesehatan 17 Agustus 1945;2024;0;0;-
Akademi Analis Kesehatan Pekalongan;2024;0;0;-
Akademi Bahasa Asing Harapan Bangsa;2024;220;13;1:17
Akademi Bahasa Asing IEC Putra Bangsa Tegal;2024;154;10;1:16
Akademi Bahasa Asing Prawira Martha Sukoharjo;2024;58;6;1:10
Akademi Bahasa Asing RA Kartini Surakarta;2024;119;7;1:17
Akademi Bahasa Asing St. Pignatelli;2024;0;20;-
Akademi Entrepreneurship Terang Bangsa;2024;0;0;-
Akademi Farmasi 17 Agustus 1945 Semarang;2024;0;0;-
Akademi Farmasi Kusuma Husada Purwokerto;2024;0;0;-
Akademi Inovasi Indonesia;2024;0;0;-
Akademi Kebidanan Bhakti Nusantara Salatiga;2024;0;0;-
Akademi Kebidanan Bhakti Pertiwi Pemalang;2024;0;0;-
Akademi Kebidanan Dulang Mas;2024;0;0;-
Akademi Kebidanan Duta Dharma;2024;0;0;-
Akademi Kebidanan Giri Satria Husada Wonogiri;2024;0;0;-
Akademi Kebidanan Graha Mandiri Cilacap;2024;0;0;-
Akademi Kebidanan Harapan Ibu Pekalongan;2024;0;0;-
Akademi Kebidanan Islam Al-hikmah;2024;0;0;-
Akademi Kebidanan KH Putra;2024;0;0;-
Akademi Kebidanan Mardi Rahayu;2024;0;0;-
Akademi Kebidanan Siti Fatimah;2024;0;0;-
Akademi Kebidanan Yappi Sragen;2024;0;0;-
Akademi Keperawatan Al-Hikmah Brebes;2024;144;8;1:18
Akademi Keperawatan Alkautsar Temanggung;2024;0;0;-
Akademi Keperawatan Giri Satria Husada;2024;0;0;-
Akademi Keperawatan Insan Husada Surakarta;2024;0;0;-
Akademi Keperawatan Kabupaten Purworejo;2024;0;0;-
Akademi Keperawatan Karya Bhakti Nusantara;2024;0;0;-
Akademi Keperawatan Krida Husada;2024;0;0;-
Akademi Keperawatan Patria Husada Surakarta;2024;0;0;-
Akademi Keperawatan Pragolopati;2024;0;0;-
Akademi Keperawatan Primaya;2024;0;0;-
Akademi Keperawatan Yappi Sragen;2024;69;6;1:12
Akademi Kesehatan 17 Agustus 1945 Semarang;2024;0;0;-
Akademi Kesehatan Asih Husada;2024;0;0;-
Akademi Kesehatan Muhammadiyah Temanggung;2024;0;0;-
Akademi Kesejahteraan Sosial Ibu Kartini;2024;220;13;1:17
Akademi Keuangan Perbankan Widya Buana;2024;44;7;1:7
Akademi Komunitas Adiyasa Karanganyar;2024;0;0;-
Akademi Komunitas Al-Kahfi;2024;64;11;1:6
Akademi Komunitas Balekambang;2024;0;0;-
Akademi Komunitas BPPMNU Banat;2024;24;5;1:5
Akademi Komunitas Miftahus Saadah Grobogan;2024;0;0;-
Akademi Komunitas Semen Indonesia Rembang;2024;0;0;-
Akademi Manajemen Rumah Sakit Kusuma Husada;2024;67;7;1:10
Akademi Maritim Nusantara Cilacap;2024;241;9;1:27
Akademi Pariwisata Eka Sakti;2024;134;11;1:13
Akademi Pariwisata Mandala Bhakti;2024;123;10;1:13
Akademi Pariwisata Widya Nusantara Surakarta;2024;44;7;1:7
Akademi Pelayaran Nasional Surakarta;2024;42;6;1:7
Akademi Pertanian HKTI Banyumas;2024;593;23;1:26
Akademi Peternakan Karanganyar;2024;58;6;1:10
Akademi Sekretari Dan Manajemen Santa Anna;2024;215;14;1:16
Akademi Sekretari Marsudirini Santa Maria;2024;0;12;-
Akademi Seni Dan Desain Indonesia Surakarta;2024;283;8;1:36
Akademi Seni Mangkunegaran Surakarta;2024;0;0;-
Akademi Statistika Muhammadiyah Semarang;2024;69;6;1:12
Akademi Teknik Elektro Medik Semarang;2024;0;0;-
Akademi Teknik PIKA;2024;0;0;-
Akademi Teknik Tirta Wiyata;2024;0;0;-
Akademi Teknik Wacana Manunggal Semarang;2024;44;11;1:4
Akademi Teknologi AUB;2024;241;9;1:27
AKBID Bhakti Putra Bangsa Purworejo;2024;0;0;-
AKBID Muslimat Nahdlatul Ulama Kudus;2024;0;0;-
AKBID Wira Husada Nusantara;2024;0;0;-
AMIK Harapan Bangsa Surakarta;2024;119;7;1:17
AMIK Jakarta Teknologi Cipta;2024;593;23;1:26
AMIK Jakarta Teknologi Cipta;2024;0;0;-
AMIK PGRI Kebumen;2024;144;8;1:18
AMIK Veteran Purwokerto;2024;154;10;1:16
AMIK YMI Tegal;2024;67;7;1:10
Institut Karya Mulia Bangsa;2024;0;0;-
Institut Teknologi Bisnis AAS Indonesia;2024;1477;47;1:32
Institut Teknologi Bisnis dan Kesehatan Bhakti Putra Bangsa Indonesia;2024;0;0;-
Institut Teknologi dan Bisnis Adias;2024;0;0;-
Institut Teknologi dan Bisnis Kristen Bukit Pengharapan;2024;266;22;1:13
Institut Teknologi dan Bisnis Muhammadiyah Grobogan;2024;0;0;-
Institut Teknologi dan Bisnis Muhammadiyah Purbalingga;2024;0;0;-
Institut Teknologi dan Bisnis Semarang;2024;2343;52;1:46
Institut Teknologi Dan Sains Nahdlatul Ulama Pekalongan;2024;1646;49;1:34
Institut Teknologi Kesehatan Cendekia Utama Kudus;2024;0;0;-
Institut Teknologi Sains dan Kesehatan PKU Muhammadiyah Surakarta;2024;1563;76;1:21
Institut Teknologi Statistika dan Bisnis Muhammadiyah Semarang;2024;0;0;-
Institut Teknologi Telkom Purwokerto;2024;0;0;-
Institut Widya Pratama;2024;0;0;-
Politeknik Akbara;2024;286;19;1:16
Politeknik Assalaam Surakarta;2024;0;0;-
Politeknik ATMI Surakarta;2024;878;95;1:10
Politeknik Baja Tegal;2024;339;19;1:18
Politeknik Balekambang Jepara;2024;418;17;1:25
Politeknik Banjarnegara;2024;339;20;1:17
Politeknik Bhakti Semesta;2024;0;0;-
Politeknik Bina Trada Semarang;2024;111;16;1:7
Politeknik Bisnis dan Perpajakan Indonesia;2024;0;0;-
Politeknik Bumi Akpelni;2024;1117;43;1:26
Politeknik Dharma Patria;2024;0;0;-
Politeknik Gusdurian;2024;0;0;-
Politeknik Harapan Bersama;2024;2944;122;1:25
Politeknik Indonusa Surakarta;2024;1734;68;1:26
Politeknik Insan Husada Surakarta;2024;0;0;-
Politeknik Katolik Mangunwijaya;2024;381;20;1:20
Politeknik Kesehatan Bhakti Mulia;2024;559;23;1:25
Politeknik Kudus;2024;0;23;-
Politeknik Maarif;2024;0;0;-
Politeknik Madyathika;2024;0;0;-
Politeknik Manufaktur Ceper;2024;100;16;1:7
Politeknik Mitra Karya Mandiri;2024;227;18;1:13
Politeknik Muhammadiyah Magelang;2024;90;15;1:6
Politeknik Muhammadiyah Tegal;2024;0;0;-
Politeknik Nest;2024;0;0;-
Politeknik Pancasakti Global;2024;0;0;-
Politeknik Piksi Ganesha Indonesia;2024;0;0;-
Politeknik Pratama;2024;0;0;-
Politeknik Pratama Mulia;2024;550;37;1:15
Politeknik Purbaya;2024;483;11;1:44
Politeknik Pusmanu;2024;0;0;-
Politeknik Rukun Abdi Luhur;2024;183;15;1:13
Politeknik Santo Paulus Surakarta;2024;101;21;1:5
Politeknik Sawunggalih Aji;2024;309;25;1:13
Politeknik Stibisnis;2024;276;19;1:15
Politeknik Trisila Dharma;2024;0;0;-
Politeknik Yakpermas Banyumas;2024;236;16;1:15
Sekolah Tinggi Ilmu Administrasi Madani;2024;412;14;1:30
Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa;2024;2511;67;1:38
Sekolah Tinggi Ilmu Ekonomi AMA;2024;0;0;-
Sekolah Tinggi Ilmu Ekonomi Anindyaguna;2024;400;11;1:37
Sekolah Tinggi Ilmu Ekonomi Assholeh;2024;0;0;-
Sekolah Tinggi Ilmu Ekonomi Atma Bhakti;2024;963;17;1:57
Sekolah Tinggi Ilmu Ekonomi Bank BPD Jawa Tengah;2024;2004;31;1:65
Sekolah Tinggi Ilmu Ekonomi Cendekia Karya Utama;2024;1036;12;1:87
Sekolah Tinggi Ilmu Ekonomi Dharma Putra Semarang;2024;455;33;1:14
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Cilacap;2024;752;27;1:28
Sekolah Tinggi Ilmu Ekonomi Pariwisata Indonesia;2024;2110;47;1:45
Sekolah Tinggi Ilmu Ekonomi Pelita Nusantara;2024;260;15;1:18
Sekolah Tinggi Ilmu Ekonomi Putra Bangsa;2024;0;0;-
Sekolah Tinggi Ilmu Ekonomi Rajawali;2024;427;11;1:39
Sekolah Tinggi Ilmu Ekonomi Satria;2024;216;13;1:17
Sekolah Tinggi Ilmu Ekonomi Semarang;2024;2511;67;1:38
Sekolah Tinggi Ilmu Ekonomi St. Pignatelli;2024;0;0;-
Sekolah Tinggi Ilmu Ekonomi Studi Ekonomi Modern;2024;0;0;-
Sekolah Tinggi Ilmu Ekonomi Surakarta;2024;2281;18;1:127
Sekolah Tinggi Ilmu Ekonomi Swasta Mandiri;2024;301;11;1:28
Sekolah Tinggi Ilmu Ekonomi Tamansiswa;2024;293;14;1:21
Sekolah Tinggi Ilmu Ekonomi Totalwin;2024;1739;39;1:45
Sekolah Tinggi Ilmu Ekonomi Widya Manggala;2024;467;17;1:28
Sekolah Tinggi Ilmu Ekonomi Widya Manggalia;2024;232;9;1:26
Sekolah Tinggi Ilmu Ekonomi Wijaya Mulya;2024;407;15;1:28
Sekolah Tinggi Ilmu Ekonomi YPPI;2024;0;0;-
Sekolah Tinggi Ilmu Farmasi Nusaputera;2024;44;11;1:4
Sekolah Tinggi Ilmu Farmasi Yayasan Pharmasi;2024;1595;59;1:28
Sekolah Tinggi Ilmu Kesehatan Bakti Utama Pati;2024;406;15;1:28
Sekolah Tinggi Ilmu Kesehatan Brebes;2024;134;11;1:13
Sekolah Tinggi Ilmu Kesehatan Cendekia Utama;2024;289;22;1:14
Sekolah Tinggi Ilmu Kesehatan Duta Gama Klaten;2024;377;24;1:16
Sekolah Tinggi Ilmu Kesehatan Elisabeth Semarang;2024;193;15;1:13
Sekolah Tinggi Ilmu Kesehatan Graha Mandiri Cilacap;2024;0;0;-
Sekolah Tinggi Ilmu Kesehatan HAKLI;2024;989;19;1:53
Sekolah Tinggi Ilmu Kesehatan Kendal;2024;447;16;1:28
Sekolah Tinggi Ilmu Kesehatan Kesdam IV / Diponegoro;2024;215;14;1:16
Sekolah Tinggi Ilmu Kesehatan Mambaul Ulum Surakarta;2024;252;24;1:11
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Kendal;2024;409;23;1:18
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Wonosobo;2024;245;0;-
Sekolah Tinggi Ilmu Kesehatan Nasional;2024;938;38;1:25
Sekolah Tinggi Ilmu Kesehatan Ngesti Waluyo;2024;283;8;1:36
Sekolah Tinggi Ilmu Kesehatan Panti Kosala;2024;510;12;1:43
Sekolah Tinggi Ilmu Kesehatan Panti Wilasa;2024;0;3;-
Sekolah Tinggi Ilmu Kesehatan Pemkab Purworejo;2024;0;0;-
Sekolah Tinggi Ilmu Kesehatan Semarang;2024;0;0;-
Sekolah Tinggi Ilmu Kesehatan Serulingmas;2024;123;10;1:13
Sekolah Tinggi Ilmu Kesehatan Tujuh Belas;2024;169;15;1:12
Sekolah Tinggi Ilmu Kesehatan YLPP Purwokerto;2024;752;26;1:29
Sekolah Tinggi Ilmu Komputer Yos Sudarso;2024;606;25;1:25
Sekolah Tinggi Ilmu Komunikasi;2024;169;10;1:17
Sekolah Tinggi Ilmu Perikanan Kalinyamat;2024;0;0;-
Sekolah Tinggi Ilmu Pertanian Farming Semarang;2024;140;12;1:12
Sekolah Tinggi Kesehatan Ar-Rum;2024;78;5;1:16
Sekolah Tinggi Kesehatan Bina Cipta Husada;2024;1596;72;1:23
Sekolah Tinggi Manajemen Informatika dan Komputer AMIKOM Surakarta;2024;0;0;-
Sekolah Tinggi Manajemen Informatika dan Komputer Komputama Majenang;2024;0;0;-
Sekolah Tinggi Manajemen Informatika dan Komputer PGRI Arungbinang Kebumen;2024;0;0;-
Sekolah Tinggi Manajemen Informatika dan Komputer YMI;2024;0;0;-
Sekolah Tinggi Pariwisata Sahid Surakarta;2024;925;52;1:18
Sekolah Tinggi Teknik Pati;2024;365;19;1:20
Sekolah Tinggi Teknik Wiworotomo;2024;485;25;1:20
Sekolah Tinggi Teknologi Minyak dan Gas Cilacap;2024;366;25;1:15
Sekolah Tinggi Teknologi Muhammadiyah Kebumen;2024;973;32;1:31
Sekolah Tinggi Teknologi Ronggolawe;2024;194;14;1:14
Sekolah Tinggi Teknologi Warga Surakarta;2024;268;11;1:25
STIA Asuh Mitra Solo;2024;140;17;1:9
STIKES Bhakti Mandala Husada Slawi;2024;828;19;1:44
STIKES Estu Utomo;2024;790;27;1:30
STIKES Ibnu Sina Ajibarang;2024;252;21;1:12
STIKES Karya Husada Semarang;2024;1401;31;1:46
STIKES Mambaul Ulum Surakarta;2024;0;0;-
STIKES Mitra Husada Karanganyar;2024;544;22;1:25
STIKES Muhammadiyah Gombong;2024;143;24;1:6
STIKES Muhammadiyah Klaten;2024;838;48;1:18
STIKES Muhammadiyah Tegal;2024;70;11;1:7
STIKES Telogorejo Semarang;2024;218;25;1:9
STIMIK Tunas Bangsa Banjarnegara;2024;811;26;1:32
STKIP Darussalam Cilacap;2024;209;7;1:30
STKIP Majenang;2024;136;13;1:11
STKIP Muhammadiyah Batang;2024;561;14;1:41
STKIP Muhammadiyah Blora;2024;952;41;1:24
STKIP Nahdlatul Ulama Kabupaten Tegal;2024;0;10;-
STMIK AKI Pati;2024;560;36;1:16
STMIK AMIKOM Surakarta;2024;1507;22;1:69
STMIK AUB Surakarta;2024;0;0;-
STMIK Bina Patria;2024;737;23;1:33
STMIK Himsya;2024;225;13;1:18
STMIK Komputama Majenang;2024;283;21;1:14
STMIK Muhammadiyah Paguyangan Brebes;2024;104;12;1:9
STMIK Sinar Nusantara;2024;978;38;1:26
STMIK Widya Pratama;2024;0;0;-
STMIK Widya Utama;2024;1951;24;1:82
STMIK YMI Tegal;2024;393;36;1:11
STT Minyak dan Gas Cilacap;2024;0;0;-
Universitas 17 Agustus 1945 Semarang;2024;7359;225;1:33
Universitas Aisyiyah Surakarta;2024;2326;82;1:29
Universitas Aki;2024;2781;60;1:47
Universitas Al Hikmah Jepara;2024;0;0;-
Universitas Al-Irsyad Cilacap;2024;276;35;1:8
Universitas Amikom Purwokerto;2024;3519;98;1:36
Universitas An Nuur;2024;1353;59;1:23
Universitas Bhamada Slawi;2024;0;0;-
Universitas Bima Sakapenta;2024;0;0;-
Universitas Boyolali;2024;1500;43;1:35
Universitas Darul Ulum Islamic Centre Sudirman;2024;2419;67;1:37
Universitas Dharma AUB Surakarta;2024;0;0;-
Universitas Dian Nuswantoro;2024;17236;426;1:41
Universitas Duta Bangsa Surakarta;2024;5786;184;1:32
Universitas Harapan Bangsa;2024;2422;124;1:20
Universitas Islam Batik;2024;2181;73;1:30
Universitas Islam Nahdlatul Ulama Jepara;2024;9121;158;1:58
Universitas Islam Sultan Agung;2024;22261;585;1:39
Universitas Ivet;2024;3972;149;1:27
Universitas Karya Husada Semarang;2024;0;0;-
Universitas Katolik Soegijapranata;2024;9788;270;1:37
Universitas Kristen Satya Wacana;2024;18693;515;1:37
Universitas Kristen Surakarta;2024;0;0;-
Universitas Kusuma Husada Surakarta;2024;3573;129;1:28
Universitas Maarif Nahdlatul Ulama Kebumen;2024;2702;62;1:44
Universitas Maritim AMNI;2024;2461;77;1:32
Universitas Muhadi Setiabudi;2024;1459;95;1:16
Universitas Muhammadiyah Brebes;2024;0;0;-
Universitas Muhammadiyah Gombong;2024;0;0;-
Universitas Muhammadiyah Karanganyar;2024;0;0;-
Universitas Muhammadiyah Kendal Batang;2024;0;0;-
Universitas Muhammadiyah Klaten;2024;0;0;-
Universitas Muhammadiyah Kudus;2024;4028;194;1:21
Universitas Muhammadiyah Magelang;2024;5117;173;1:30
Universitas Muhammadiyah Pekajangan Pekalongan;2024;2528;134;1:19
Universitas Muhammadiyah Purwokerto;2024;17351;453;1:39
Universitas Muhammadiyah Purworejo;2024;5410;126;1:43
Universitas Muhammadiyah Semarang;2024;15347;396;1:39
Universitas Muhammadiyah Surakarta;2024;42154;807;1:53
Universitas Muhammadiyah Tegal;2024;0;0;-
Universitas Muria Kudus;2024;13995;254;1:56
Universitas Nahdlatul Ulama;2024;0;0;-
Universitas Nahdlatul Ulama Al Ghazali Cilacap;2024;2691;101;1:27
Universitas Nahdlatul Ulama Purwokerto;2024;2343;134;1:18
Universitas Nahdlatul Ulama Surakarta;2024;1962;68;1:29
Universitas Nasional Karangturi Semarang;2024;341;48;1:8
Universitas Ngudi Waluyo;2024;5466;163;1:34
Universitas Pancasakti;2024;0;0;-
Universitas Pancasakti Tegal;2024;7290;190;1:39
Universitas Pandanaran;2024;1405;63;1:23
Universitas Pekalongan;2024;6170;157;1:40
Universitas Peradaban;2024;2029;100;1:21
Universitas Perwira Purbalingga;2024;657;37;1:18
Universitas PGRI Semarang;2024;14934;339;1:45
Universitas Pignatelli Triputra;2024;0;0;-
Universitas Putra Bangsa;2024;0;0;-
Universitas Safin Pati;2024;0;0;-
Universitas Sahid Surakarta;2024;2052;60;1:35
Universitas Sains Alqur an;2024;11198;210;1:54
Universitas Sains Dan Teknologi Komputer;2024;5276;197;1:27
Universitas Selamat Sri;2024;2766;132;1:21
Universitas Semarang;2024;18277;399;1:46
Universitas Setia Budi Surakarta;2024;2814;115;1:25
Universitas Slamet Riyadi;2024;8597;169;1:51
Universitas Sragen;2024;0;0;-
Universitas Stikubank;2024;2896;114;1:26
Universitas Sugeng Hartono;2024;0;0;-
Universitas Sultan Fatah;2024;1021;59;1:18
Universitas Surakarta;2024;3728;121;1:31
Universitas Tidar Magelang;2024;0;0;-
Universitas Tunas Pembangunan Surakarta (UTP);2024;0;116;-
Universitas Veteran Bangun Nusantara;2024;5439;170;1:32
Universitas Wahid Hasyim;2024;9548;259;1:37
Universitas Widya Dharma;2024;2892;104;1:28
Universitas Widya Husada Semarang;2024;1658;73;1:23
Universitas Wijaya Kusuma Purwokerto;2024;5795;112;1:52
Universitas YPPI Rembang;2024;0;0;-
Akademi Akuntansi Bima Sakapenta;2025;55;0;-
Akademi Akuntansi Effendi Harahap;2025;231;11;1:21
Akademi Akuntansi Muhammadiyah Klaten;2025;0;0;-
Akademi Analis Kesehatan 17 Agustus 1945;2025;0;0;-
Akademi Analis Kesehatan Pekalongan;2025;214;8;1:27
Akademi Bahasa Asing Harapan Bangsa;2025;0;0;-
Akademi Bahasa Asing IEC Putra Bangsa Tegal;2025;0;0;-
Akademi Bahasa Asing Prawira Martha Sukoharjo;2025;0;0;-
Akademi Bahasa Asing RA Kartini Surakarta;2025;0;0;-
Akademi Bahasa Asing St. Pignatelli;2025;0;0;-
Akademi Entrepreneurship Terang Bangsa;2025;64;12;1:6
Akademi Farmasi 17 Agustus 1945 Semarang;2025;0;0;-
Akademi Farmasi Kusuma Husada Purwokerto;2025;0;0;-
Akademi Inovasi Indonesia;2025;65;8;1:9
Akademi Kebidanan Bhakti Nusantara Salatiga;2025;0;0;-
Akademi Kebidanan Bhakti Pertiwi Pemalang;2025;0;0;-
Akademi Kebidanan Dulang Mas;2025;0;0;-
Akademi Kebidanan Duta Dharma;2025;0;0;-
Akademi Kebidanan Giri Satria Husada Wonogiri;2025;0;0;-
Akademi Kebidanan Graha Mandiri Cilacap;2025;0;0;-
Akademi Kebidanan Harapan Ibu Pekalongan;2025;33;6;1:6
Akademi Kebidanan Islam Al-hikmah;2025;0;0;-
Akademi Kebidanan KH Putra;2025;98;14;1:7
Akademi Kebidanan Mardi Rahayu;2025;0;0;-
Akademi Kebidanan Siti Fatimah;2025;56;7;1:8
Akademi Kebidanan Yappi Sragen;2025;0;0;-
Akademi Keperawatan Al-Hikmah Brebes;2025;0;0;-
Akademi Keperawatan Alkautsar Temanggung;2025;0;0;-
Akademi Keperawatan Giri Satria Husada;2025;79;79;1:1
Akademi Keperawatan Insan Husada Surakarta;2025;0;0;-
Akademi Keperawatan Kabupaten Purworejo;2025;0;0;-
Akademi Keperawatan Karya Bhakti Nusantara;2025;182;0;-
Akademi Keperawatan Krida Husada;2025;0;0;-
Akademi Keperawatan Patria Husada Surakarta;2025;39;9;1:5
Akademi Keperawatan Pragolopati;2025;0;0;-
Akademi Keperawatan Primaya;2025;16;5;1:4
Akademi Keperawatan Yappi Sragen;2025;0;0;-
Akademi Kesehatan 17 Agustus 1945 Semarang;2025;119;11;1:11
Akademi Kesehatan Asih Husada;2025;0;0;-
Akademi Kesehatan Muhammadiyah Temanggung;2025;103;7;1:15
Akademi Kesejahteraan Sosial Ibu Kartini;2025;130;16;1:9
Akademi Keuangan Perbankan Widya Buana;2025;0;0;-
Akademi Komunitas Adiyasa Karanganyar;2025;0;0;-
Akademi Komunitas Al-Kahfi;2025;0;0;-
Akademi Komunitas Balekambang;2025;0;0;-
Akademi Komunitas BPPMNU Banat;2025;13;5;1:3
Akademi Komunitas Miftahus Saadah Grobogan;2025;0;0;-
Akademi Komunitas Semen Indonesia Rembang;2025;0;0;-
Akademi Manajemen Rumah Sakit Kusuma Husada;2025;0;0;-
Akademi Maritim Nusantara Cilacap;2025;503;26;1:20
Akademi Pariwisata Eka Sakti;2025;0;0;-
Akademi Pariwisata Mandala Bhakti;2025;112;10;1:12
Akademi Pariwisata Widya Nusantara Surakarta;2025;0;0;-
Akademi Pelayaran Nasional Surakarta;2025;399;24;1:17
Akademi Pertanian HKTI Banyumas;2025;0;0;-
Akademi Peternakan Karanganyar;2025;0;0;-
Akademi Sekretari Dan Manajemen Santa Anna;2025;0;0;-
Akademi Sekretari Marsudirini Santa Maria;2025;69;6;1:12
Akademi Seni Dan Desain Indonesia Surakarta;2025;20;0;-
Akademi Seni Mangkunegaran Surakarta;2025;0;0;-
Akademi Statistika Muhammadiyah Semarang;2025;0;0;-
Akademi Teknik Elektro Medik Semarang;2025;0;0;-
Akademi Teknik PIKA;2025;50;8;1:7
Akademi Teknik Tirta Wiyata;2025;400;9;1:45
Akademi Teknik Wacana Manunggal Semarang;2025;80;13;1:7
Akademi Teknologi AUB;2025;0;0;-
AKBID Bhakti Putra Bangsa Purworejo;2025;0;0;-
AKBID Muslimat Nahdlatul Ulama Kudus;2025;0;0;-
AKBID Wira Husada Nusantara;2025;0;0;-
AMIK Harapan Bangsa Surakarta;2025;0;0;-
AMIK Jakarta Teknologi Cipta;2025;84;13;1:7
AMIK Jakarta Teknologi Cipta;2025;84;13;1:7
AMIK PGRI Kebumen;2025;0;0;-
AMIK Veteran Purwokerto;2025;0;0;-
AMIK YMI Tegal;2025;0;0;-
Institut Karya Mulia Bangsa;2025;67;47;1:2
Institut Teknologi Bisnis AAS Indonesia;2025;1018;56;1:19
Institut Teknologi Bisnis dan Kesehatan Bhakti Putra Bangsa Indonesia;2025;205;29;1:8
Institut Teknologi dan Bisnis Adias;2025;506;34;1:15
Institut Teknologi dan Bisnis Kristen Bukit Pengharapan;2025;237;20;1:12
Institut Teknologi dan Bisnis Muhammadiyah Grobogan;2025;83;15;1:6
Institut Teknologi dan Bisnis Muhammadiyah Purbalingga;2025;137;21;1:7
Institut Teknologi dan Bisnis Semarang;2025;794;46;1:18
Institut Teknologi Dan Sains Nahdlatul Ulama Pekalongan;2025;1411;60;1:24
Institut Teknologi Kesehatan Cendekia Utama Kudus;2025;1009;62;1:17
Institut Teknologi Sains dan Kesehatan PKU Muhammadiyah Surakarta;2025;1123;76;1:15
Institut Teknologi Statistika dan Bisnis Muhammadiyah Semarang;2025;175;27;1:7
Institut Teknologi Telkom Purwokerto;2025;0;0;-
Institut Widya Pratama;2025;1164;51;1:23
Politeknik Akbara;2025;301;21;1:15
Politeknik Assalaam Surakarta;2025;198;23;1:9
Politeknik ATMI Surakarta;2025;781;60;1:14
Politeknik Baja Tegal;2025;215;20;1:11
Politeknik Balekambang Jepara;2025;445;20;1:23
Politeknik Banjarnegara;2025;337;21;1:17
Politeknik Bhakti Semesta;2025;154;13;1:12
Politeknik Bina Trada Semarang;2025;154;13;1:12
Politeknik Bisnis dan Perpajakan Indonesia;2025;39;16;1:3
Politeknik Bumi Akpelni;2025;90;18;1:5
Politeknik Dharma Patria;2025;0;0;-
Politeknik Gusdurian;2025;9;15;1:1
Politeknik Harapan Bersama;2025;2465;0;-
Politeknik Indonusa Surakarta;2025;1822;78;1:24
Politeknik Insan Husada Surakarta;2025;357;16;1:23
Politeknik Katolik Mangunwijaya;2025;265;23;1:12
Politeknik Kesehatan Bhakti Mulia;2025;484;20;1:25
Politeknik Kudus;2025;0;0;-
Politeknik Maarif;2025;0;0;-
Politeknik Madyathika;2025;140;25;1:6
Politeknik Manufaktur Ceper;2025;82;21;1:4
Politeknik Mitra Karya Mandiri;2025;143;20;1:8
Politeknik Muhammadiyah Magelang;2025;33;0;-
Politeknik Muhammadiyah Tegal;2025;0;0;-
Politeknik Nest;2025;249;22;1:12
Politeknik Pancasakti Global;2025;163;15;1:11
Politeknik Piksi Ganesha Indonesia;2025;265;29;1:10
Politeknik Pratama;2025;0;0;-
Politeknik Pratama Mulia;2025;227;35;1:7
Politeknik Purbaya;2025;265;18;1:15
Politeknik Pusmanu;2025;0;0;-
Politeknik Rukun Abdi Luhur;2025;156;16;1:10
Politeknik Santo Paulus Surakarta;2025;124;0;-
Politeknik Sawunggalih Aji;2025;197;28;1:8
Politeknik Stibisnis;2025;218;22;1:10
Politeknik Trisila Dharma;2025;0;0;-
Politeknik Yakpermas Banyumas;2025;1069;21;1:51
Sekolah Tinggi Ilmu Administrasi Madani;2025;141;17;1:9
Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa;2025;0;0;-
Sekolah Tinggi Ilmu Ekonomi AMA;2025;721;29;1:25
Sekolah Tinggi Ilmu Ekonomi Anindyaguna;2025;469;11;1:43
Sekolah Tinggi Ilmu Ekonomi Assholeh;2025;0;0;-
Sekolah Tinggi Ilmu Ekonomi Atma Bhakti;2025;781;17;1:46
Sekolah Tinggi Ilmu Ekonomi Bank BPD Jawa Tengah;2025;1204;43;1:28
Sekolah Tinggi Ilmu Ekonomi Cendekia Karya Utama;2025;815;16;1:51
Sekolah Tinggi Ilmu Ekonomi Dharma Putra Semarang;2025;207;31;1:7
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Cilacap;2025;310;21;1:15
Sekolah Tinggi Ilmu Ekonomi Pariwisata Indonesia;2025;1132;36;1:32
Sekolah Tinggi Ilmu Ekonomi Pelita Nusantara;2025;188;14;1:14
Sekolah Tinggi Ilmu Ekonomi Putra Bangsa;2025;0;0;-
Sekolah Tinggi Ilmu Ekonomi Rajawali;2025;305;11;1:28
Sekolah Tinggi Ilmu Ekonomi Satria;2025;84;14;1:6
Sekolah Tinggi Ilmu Ekonomi Semarang;2025;1982;0;-
Sekolah Tinggi Ilmu Ekonomi St. Pignatelli;2025;0;0;-
Sekolah Tinggi Ilmu Ekonomi Studi Ekonomi Modern;2025;1069;21;1:51
Sekolah Tinggi Ilmu Ekonomi Surakarta;2025;1516;23;1:66
Sekolah Tinggi Ilmu Ekonomi Swasta Mandiri;2025;185;12;1:16
Sekolah Tinggi Ilmu Ekonomi Tamansiswa;2025;806;16;1:51
Sekolah Tinggi Ilmu Ekonomi Totalwin;2025;2006;40;1:51
Sekolah Tinggi Ilmu Ekonomi Widya Manggala;2025;151;18;1:9
Sekolah Tinggi Ilmu Ekonomi Widya Manggalia;2025;192;6;1:32
Sekolah Tinggi Ilmu Ekonomi Wijaya Mulya;2025;141;16;1:9
Sekolah Tinggi Ilmu Ekonomi YPPI;2025;0;0;-
Sekolah Tinggi Ilmu Farmasi Nusaputera;2025;325;22;1:15
